timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1642427744339,1602,Search,200,OK,LT - 4 4-1,text,true,,17983,541,1,4,https://www.cicek.com/Arama?query=kupa,1560,0,1391
1642427744339,1603,Search,200,OK,LT - 2 2-1,text,true,,17983,541,1,4,https://www.cicek.com/Arama?query=kupa,1560,0,1354
1642427744339,1624,Search,200,OK,LT - 3 3-1,text,true,,18475,541,1,4,https://www.cicek.com/Arama?query=kupa,1612,0,1354
1642427744339,1631,Search,200,OK,LT - 1 1-1,text,true,,17983,541,1,4,https://www.cicek.com/Arama?query=kupa,1580,0,1361
1642427745954,379,Suggest,200,OK,LT - 4 4-1,text,true,,1265,529,1,4,https://www.cicek.com/Suggest/Get?key=kupa,379,0,0
1642427745954,410,Suggest,200,OK,LT - 2 2-1,text,true,,1506,529,1,4,https://www.cicek.com/Suggest/Get?key=kupa,410,0,0
1642427745966,399,Suggest,200,OK,LT - 3 3-1,text,true,,1265,529,1,4,https://www.cicek.com/Suggest/Get?key=kupa,399,0,0
1642427745974,734,Suggest,200,OK,LT - 1 1-1,text,true,,1505,529,1,4,https://www.cicek.com/Suggest/Get?key=kupa,734,0,0
1642427746365,422,Product List,200,OK,LT - 2 2-1,text,true,,6276,556,1,4,https://www.cicek.com/Catalog/AjaxCategory?query=kupa,419,0,0
1642427746788,57,Search,200,OK,LT - 2 2-1,text,true,,17983,541,1,4,https://www.cicek.com/Arama?query=kupa,55,0,0
1642427746709,141,Product List,200,OK,LT - 1 1-1,text,true,,6276,556,1,4,https://www.cicek.com/Catalog/AjaxCategory?query=kupa,141,0,0
1642427746846,41,Suggest,200,OK,LT - 2 2-1,text,true,,1288,529,1,3,https://www.cicek.com/Suggest/Get?key=kupa,41,0,0
1642427746366,529,Product List,200,OK,LT - 3 3-1,text,true,,6516,556,1,3,https://www.cicek.com/Catalog/AjaxCategory?query=kupa,484,0,0
1642427746334,573,Product List,200,OK,LT - 4 4-1,text,true,,6276,556,1,3,https://www.cicek.com/Catalog/AjaxCategory?query=kupa,570,0,0
1642427746888,46,Product List,200,OK,LT - 2 2-1,text,true,,6276,556,1,3,https://www.cicek.com/Catalog/AjaxCategory?query=kupa,45,0,0
1642427746896,61,Search,200,OK,LT - 3 3-1,text,true,,17983,541,1,3,https://www.cicek.com/Arama?query=kupa,59,0,0
1642427746908,64,Search,200,OK,LT - 4 4-1,text,true,,17983,541,1,3,https://www.cicek.com/Arama?query=kupa,62,0,0
1642427746935,58,Search,200,OK,LT - 2 2-1,text,true,,17983,541,1,3,https://www.cicek.com/Arama?query=kupa,54,0,0
